@relation movie_sentiment_analysis_small

@attribute PhraseId numeric
@attribute SentenceId numeric
@attribute Phrase string
@attribute Sentiment {0, 1, 2, 3, 4}
@attribute Sentiment_Description {'somewhat positive','somewhat negative',neutral,negativ,positive}

@data
126999,6829,'is worth your time , especially if you have Ellen Pompeo sitting next to you for the ride .',3,'somewhat positive'
7627,309,'the film lacks momentum and its position remains mostly undeterminable',1,'somewhat negative'
30131,1399,'I do nt feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it s a dish that s best served cold .',3,'somewhat positive'
95300,4974,'Byzantine incarnations',2,neutral
122418,6564,'since Beauty and the Beast',3,'somewhat positive'
17704,766,'A quiet , disquieting triumph',3,'somewhat positive'
29012,1344,'By surrounding us with hyper-artificiality',1,'somewhat negative'
22366,1008,'of what the director was trying to do than of what he had actually done',2,neutral
4919,191,'the real stars of Reign of Fire',2,neutral
33098,1551,dreaded,1,'somewhat negative'
10360,436,'The rollerball sequences feel sanitised and stagey .',1,'somewhat negative'
53743,2668,focuses,2,neutral
84490,4371,'is blood-curdling stuff',3,'somewhat positive'
88813,4613,'a bad sitcom',0,negativ
156001,8541,annoyances,2,neutral
39505,1886,'to families and church meetings',2,neutral
43986,2132,'is a filmmaker of impressive talent .',3,'somewhat positive'
114122,6066,'exploring motivation',2,neutral
137655,7449,'visual hideousness',0,negativ
25242,1153,'mined his personal horrors',2,neutral
55020,2741,'a moratorium , effective immediately',2,neutral
53677,2664,'weighty revelations ,',2,neutral
80182,4131,'as it is a unique , well-crafted psychological study of grief',3,'somewhat positive'
128718,6924,'A bonanza',2,neutral
117621,6276,'under your skin and , some plot blips',2,neutral
51912,2562,'While Hollywood Ending has its share of belly laughs -LRB- including a knockout of a closing line -RRB-',3,'somewhat positive'
32288,1514,'Eastwood s loyal fans',3,'somewhat positive'
141734,7689,'Witless and utterly pointless .',1,'somewhat negative'
71650,3656,'a deep vein of sadness',1,'somewhat negative'
120216,6428,'so perfect for a ballplayer',3,'somewhat positive'
115550,6158,'Despite the fact that this film was nt as bad as I thought it was going to be , it s still not a good movie',0,negativ
75490,3870,'a delicious crime drama on par with the slickest of Mamet .',4,positive
71957,3676,'Drama of temptation , salvation and good intentions is a thoughtful examination of faith , love and power .',3,'somewhat positive'
18016,785,'s an utterly static picture',1,'somewhat negative'
12655,544,'melancholy and its unhurried narrative',2,neutral
42626,2055,well-worn,2,neutral
52533,2600,'mildly unimpressive to despairingly awful',0,negativ
143472,7787,'gets around to its real emotional business ,',3,'somewhat positive'
84038,4342,'Lathan and Diggs carry the film with their charisma , and both exhibit sharp comic timing that makes the more hackneyed elements of the film easier to digest',3,'somewhat positive'
137864,7460,'full of life and small delights',4,positive
